"simplified";"traditional";"pinyin";"description"
"餐纸";"餐紙";"caan1 zi2";"餐巾纸，卫生纸"
"残渣";"殘渣";"caan4 zaa1";"①残破：台车咁～，系时候换啦；②差劲：部手机成日司机，好～。"
"撑船";"撐船";"caang1 sin4";"划船，用篙使船前进"
"撑场";"撐場";"caang3 coeng4";"给别人助长声势：拖多几条友来帮～喂！"
"撑颈";"撐頸";"caang3 geng2";"顶嘴：人仔细细就咁劥～"
"撑雨遮";"撐雨遮";"caang3 ji2 ze1";"打伞，撑伞"
"撑遮";"撐遮";"caang3 ze1";"①打伞，撑伞；②委婉语，指阴茎勃起。"
"撑嘴";"撐嘴";"caang3 zui2";"顶嘴"
"撑台脚";"撐檯腳";"caang3 toi4 goek3";"情侣、夫妻一起吃饭，亦可泛指一起吃饭：今晚我自己在屋打甂炉，过来～冇？"
"插秧";"插秧";"caap3 joeng1";"把秧苗栽插于水田中"
"插田";"插田";"caap3 tin4";"把秧苗栽插于水田中"
"擦鞋";"擦鞋";"caat3 haai4";"比喻拍马屁：冇识～边上得位。"
"擦鞋仔";"擦鞋仔";"caat3 haai4 zai2";"马屁精"
"擦炮";"擦炮";"caat3 paau3";"火柴炮，通过磨擦来引爆的爆竹"
"抄后㞘";"抄後㞘";"caau1 hau4 duk1";"指绕到敌人背面或侧翼进攻敌人，引申为背后偷袭或者暗算。"
"吵耳";"吵耳";"caau2 nji2";"刺耳，嘈杂：楼上装修好～。"
"吵𫵱耳";"吵𫵱耳";"caau2 cot4 nji2";"言行等对人造成干扰，使人烦躁、厌烦，亦作“吵屁耳”：啲细老哥真系～。"
"炒更";"炒更";"caau2 gaang1";"正职之外亦从事第二职业：冇搏命～，几时正买得到屋？"
"耖身";"耖身";"caau3 san1";"搜身：昨日放学捱帮烂仔～。"
"凄凉";"淒涼";"cai1 loeng4";"形容人遭遇令人同情：老王啲身世好～。"
"砌屋";"砌屋";"cai3 uk1";"建房子"
"砌长城";"砌長城";"cai3 coeng4 sing4";"打麻将"
"砌砖";"砌磚";"cai3 zin1";"用水泥把砖块粘合"
"砌墙";"砌牆";"cai3 coeng4";"用砖石水泥修筑障壁"
"沉醉";"沉醉";"cam4 zui3";"①形容精神恍惚，心不在焉：识你耍游戏耍得～啰！②形容人说话啰嗦：冇使理佢啦，啲老同志都係咁~㗎！"
"沉水艇";"沉水艇";"cam4 sui2 teng2";"①潜水艇；②用喝酒的小酒杯直接放进酒樽里装满酒。"
"寻亲戚";"尋親戚";"cam4 can1 cik3";"探望亲戚"
"亲朋戚友";"親朋戚友";"can1 pang4 cik1 jau2";"亲戚朋友"
"春卷";"春捲";"can1 gin2";"用面粉或其它可食用粉类做成薄皮包上各种馅料做成的小吃"
"趁机搏乱";"趁機搏亂";"can3 gi1 bok3 lin4";"趁乱渔利。"
"趁街";"趁街";"can3 gaai1";"逛街：今晚陪妈仔去～。"
"趁墟";"趁墟";"can3 hi1";"赶集：今日出新棠街～。"
"趁你病攞你命";"趁你病攞你命";"can3 ni2 beng4 lo2 ni2 meng4";"趁你有病，要你的命。比喻乘人之危，落井下石：肚痛系冇？～，愈发要做你！"
"陈皮";"陳皮";"can4 pi4";"腌制过的橘子皮"
"巡来巡去";"巡來巡去";"can4 loi4 can4 hi3";"焦虑地来回走动"
"湒脆";"湒脆";"cap1 cui3";"（食物等）脆，爽口：嗰只哈密瓜～嘅！"
"七七八八";"七七八八";"cat1 cat1 baat3 baat3";"事情已完成大部分：啲工都做得～了。"
"七月十四";"七月十四";"cat1 njit4 sap4 sli3";"中元节，俗称饿鬼节。按照钦州习俗，家家户户在这天杀鸭祭祖，并告诫小孩子不要在江河湖泊等水域玩耍。"
"七十二泾";"七十二涇";"cat1 sap4 nji4 ging3";"七十二泾明、清以来就被视为钦州著名景点，位于茅尾海内，是由上百个大小不一的岛屿组成的群岛。七十二泾分别为：松明泾、大蚺蛇泾、 小蚺蛇泾、高泾、低泾、火筒泾、水井泾、母猪泾、十字泾、牛轭泾、深泾、浅经、鲤鱼泾、穿心泾、长沙泾、虾螺泾、木岽泾、大泾、小泾、红沙泾、杨梅泾、坳顶泾、高山泾、王宝泾、上泾、下泾、倒水泾、鬼老泾、山子泾、鬼仔泾、虾公泾、松泾、龙泾、樟木泾、山鸡泾、蚝砺泾、仙人泾、淡水泾、后泾、横泾、阿妈泾、大山泾、土地泾、大鸡笼泾、小鸡笼泾、沙泾、瓦泾、枫木泾、中间泾、雉鸡泾、缭丝泾、老虎泾、谷泾、福建泾、东边泾、西边泾、鲎壳泾、火烧泾、小鬼泾、缯埠泾、饿鬼泾、榄子泾、六墩泾、包针泾、瓦冲泾、倒吊泾、双连泾、榕树泾、黄竹泾、狮子泾、朱沙泾、官井泾。"
"出出入入";"出出入入";"cat1 cat1 jap4 jap4";"进进出出：只路口啲车～好危险。"
"出千";"出千";"cat1 cin1";"（在赌博中）施展骗术：～着捉到就捱打死。"
"出痘";"出痘";"cat1 dau4";"长痘痘，长水痘。"
"出街";"出街";"cat1 gaai1";"①上街;②将产品、成果向大众推广或发布。"
"出入";"出入";"cat1 jap4";"进出。"
"出奇";"出奇";"cat1 ki4";"奇怪，不同寻常：有咩咁～？"
"出老千";"出老千";"cat1 lau2 cin1";"（在赌博中）施展骗术。"
"出麻";"出麻";"cat1 maa4";"长麻疹。"
"出世";"出世";"cat1 sai3";"出生。"
"出声";"出聲";"cat1 seng1";"作声，吭声。"
"出屋";"出屋";"cat1 uk1";"出门。"
"出在";"出在";"cat1 zoi4";"听从，按照，任由：～你啦！"
"出力";"出力";"cat1 lik4";"用力，使劲。"
"出人见众";"出人見衆";"cat1 njan4 gin3 zung3";"出现在各种场合：佢好失礼，～都穿得咁邋遢。"
"抽大机";"抽大機";"cau1 daai4 gi1";"玩街机游戏"
"抽廉蛇";"抽廉蛇";"cau1 lim4 se4";"见“抽盐蛇”。"
"抽盐蛇";"抽鹽蛇";"cau1 jim4 se4";"壁虎，亦叫“檐蛇”“偷盐蛇”“抽廉蛇”。"
"抽水";"抽水";"cau1 sui2";"①通过水泵将水从低处吸到高处；②指某人从某事物或人拿取利益：单嘢我要～10%。"
"搊翻转";"搊翻轉";"cau1 faan1 zin3";"掀翻"
"搊裤";"搊褲";"cau1 fu3";"提起裤子。"
"秋枫子";"秋楓子";"cau1 fung1 zi2";"秋枫，中药名。为大戟科重阳木属植物秋枫（学名：Bischofia javanica）的根、树皮及叶。"
"草签";"草簽";"cau2 cim1";"挑柴草用的木棍，通常两头削尖。"
"丑鬼";"醜鬼";"cau2 gwai2";"①难看，丑陋：只嘢够～嘅！②丢人，难堪：咁大只人仲哭，～冇？"
"丑喵喵";"醜喵喵";"cau2 meu1 meu1";"①儿语，指害羞、丢人：又濑尿？～哦！②指含羞草"
"丑人";"醜人";"cau2 njan4";"丢人：有咩回屋斟，冇要当街争，～！"
"丑人多百怪";"醜人多百怪";"cau2 njan4 do1 baak3 gwaai3";"指丑陋、猥琐的人经常做出些古怪的事来为难别人或博取眼球。"
"臭青";"臭青";"cau3 cing1";"原指带有果蔬未成熟的味道，引申为不熟练、生涩的：佢讲啲白话～嘅。"
"臭烃烃";"臭烴烴";"cau3 hang1 hang1";"形容物体发出的臭气浓烈：条水沟～。"
"臭气";"臭氣";"cau3 hi3";"发臭，气味难闻：只嘢几日冇洗身了？咁远都觉得～"
"臭汗酸";"臭汗酸";"cau3 hon4 slin1";"散发出汗臭味：件衫冇识几～。"
"臭殁";"臭歿";"cau3 mat1";"散发出腐朽、霉变味：啲粽都～咯！"
"臭泥";"臭泥";"cau3 nai4";"有泥（土）腥味：条鱼～嘅。"
"臭餲";"臭餲";"cau3 ngaat3";"散发出臊臭味"
"臭屁虫";"臭屁蟲";"cau3 pi3 cung4";"臭虫，学名叫“椿象”"
"臭火燫";"臭火燫";"cau3 fo2 lem1";"散发出烧焦的味道：盘青菜～嘅。"
"臭屎";"臭屎";"cau3 si2";"有屎臭味。"
"臭尿";"臭尿";"cau3 slui1";"有尿骚味。"
"凑近堆";"湊近堆";"cau3 kan2 dui1";"指人们或物体聚集一起。"
"凑够数";"湊夠數";"cau3 gau3 slu3";"把数量积攒够。"
"嘈天巴闭";"嘈天巴閉";"cau4 tin1 baa1 bai3";"闹哄哄，吵吵嚷嚷：啲细佬哥～。"
"嘈醒";"嘈醒";"cau4 sleng2";"吵醒：天未光就捱～了"
"嘈喳喳";"嘈喳喳";"cau4 zaa4 zaa4";"形容吵闹的样子"
"车车转";"車車轉";"ce1 ce1 zin3";"四周，到处：～都冇揾得到佢。"
"车佬";"車佬";"ce1 lau2";"司机，特指货运司机。"
"车𨭭";"車𨭭";"ce1 ling1";"车轮毂。"
"车螺";"車螺";"ce1 lo4";"蛤蜊，特别指帘蛤科帘蛤属的菲律宾帘蛤（学名：Venerupis philippinarum）。（图自：https://commons.wikimedia.org/wiki/File:Ruditapes_philippinarum.jpg）"
"车路";"車路";"ce1 lu4";"公路。"
"车辘";"車轆";"ce1 luk1";"车轮。"
"车鞍";"車鞍";"ce1 on1";"自行车、摩托车等的车座。"
"车皮";"車皮";"ce1 pi4";"火车车厢。"
"车线";"車線";"ce1 slin3";"缝纫用的线。"
"车掣";"車掣";"ce1 zai3";"车的制动器。"
"车头饼";"車頭餅";"ce1 tau4 beng2";"即钦州本地的芝麻饼，以上好白面或者红薯为主料，配以芝麻、酥油、碱面等副料，上炉烘烤而成。"
"譇大奅";"譇大奅";"ce1 daai4 paau3";"吹牛，说谎"
"譇髦";"譇髦";"ce1 mau1";"炫耀，吹牛"
"誃人";"誃人";"ce2 njan4";"离开，离去：我食饱就～了。"
"誃行开";"誃行開";"ce2 haang4 hoi1";"走开，滚开"
"笡身";"笡身";"ce3 san1";"侧身"
"挦毛";"撏毛";"cem4 maau4";"拔毛：只鸡未记得～。"
"挦丢";"撏丟";"cem4 diu1";"拔掉：～啲毛去。"
"浅水沉死人";"淺水沉死人";"cen2 sui2 zam4 sli2 njan4";"比喻在简单、有把握的事情上出差错：送分题都错，真系~!"
"黐黐扯扯";"黐黐扯扯";"ci1 ci1 ce2 ce2";"拉拉扯扯，纠缠不清"
"黐线";"黐線";"ci1 slin3";"精神病，不正常"
"黐孖筋";"黐孖筋";"ci1 maa1 gan1";"指人精神不正常"
"黐实";"黐實";"ci1 sat4";"粘住，缠绕住：啲线~了。"
"柱棍";"柱棍";"ci2 gwan3";"拐杖"
"似样";"似樣";"ci3 joeng4";"像样，像话：噉子正～啰！"
"似𫵱";"似𫵱";"ci3 cot4";"詈语，形容人形象差：你穿身嘢够～嘅！"
"似十足";"似十足";"ci3 sap4 zuk1";"酷似，像极了：佢～佢老豆去！"
"似模似样";"似模似樣";"ci3 mu1 ci3 joeng4";"像模像样：佢学吉他都学得～喎！"
"迟到好过冇到";"遲到好過冇到";"ci4 dau3 hau2 gwo3 mau2 dau3";"俗语，晚来的总比没有的好"
"迟种无谷，迟鸭无肉";"遲種無谷，遲鴨無肉";"ci4 zung3 mu4 guk1,ci4 aap3 mu4 njuk4";"钦州农谚：播种晚了收成就不好，鸭养老了就没有肉了。"
"除电";"除電";"ci4 din4";"（将电器）断电"
"饲料鸡";"飼料雞";"ci4 liu4 gai1";"吃饲料长大的鸡"
"签猪";"籤豬";"cim1 zi1";"杀猪。"
"僭队";"僭隊";"cim3 dui4";"插队：～嘅人真系冇素质。"
"千祈";"千祈";"cin1 ki4";"千万：～冇信佢！"
"千迢路远";"千迢路遠";"cin1 tiu4 lu4 jin2";"千里迢迢"
"穿胎";"穿胎";"cin1 toi1";"轮胎漏气"
"穿煲";"穿煲";"cin1 bau1";"比喻事情败露，穿帮：昨晚去滚嘅事～了。"
"穿竉";"穿竉";"cin1 lung1";"出现破洞"
"穿针";"穿針";"cin1 zam1";"把针线穿过针眼，也引申为打篮球时空心入篮：佢连续投了几只～。"
"穿头";"穿頭";"cin1 tau4";"头被碰破：跌～。"
"穿衫";"穿衫";"cin1 saam1";"穿衣服"
"穿街过巷";"穿街過巷";"cin1 gaai1 gwo3 hong4";"在大街上穿行，也比喻在大庭广众之下"
"穿错鞋";"穿錯鞋";"cin1 co3 haai4";"将鞋子左右穿反"
"穿翻衫";"穿翻衫";"cin1 faan1 saam1";"将衣服前后或内外穿反。"
"村佬";"村佬";"cin1 lau2";"乡巴佬，乡下人"
"村𧟱";"村𧟱";"cin1 buk1";"乡巴佬，乡下人"
"村头";"村頭";"cin1 tau4";"农村，乡下"
"村话";"村話";"cin1 waa4";"城郊或者乡下地区使用的方言"
"諯世";"諯世";"cin3 sai3";"嚣张：佢太~，好多人想打佢。"
"前日";"前日";"cin4 njat4";"前天"
"前头";"前頭";"cin4 tau4";"前面，之前"
"前世";"前世";"cin4 sai3";"①即轮回论中的上一世；②“前世冇修”的简略说法"
"前世冇修";"前世冇修";"cin4 sai3 mau2 slau1";"迷信认为前世没修下阴德，此世也就没有好报应。用于形容不顺意：生到噉子嘅仔，真系～哦！"
"青瓜";"青瓜";"cing1 gwaa1";"黄瓜"
"青山";"青山";"cing1 saan1";"精神病院的俗称"
"青色";"青色";"cing1 sik1";"绿色"
"青竹标";"青竹標";"cing1 zuk1 biu1";"青竹蛇"
"青蟹";"青蟹";"cing1 haai2";"钦南青蟹，学名锯缘青蟹，味道鲜美，营养价值高，是钦州市名贵海产和传统的出口水产品之一。"
"青蘨蘨";"青蘨蘨";"cing1 jaau1 jaau1";"形容颜色青翠：啲荔枝仲～到。"
"清简";"清簡";"cing1 gaan2";"清淡：食碗～粥冇识几舒服！"
"清景";"清景";"cing1 ging2";"①清净：片天真系～；②清静：我喜欢在啲比较～嘅地方住"
"清甜";"清甜";"cing1 tim4";"清润甘美：啲泉水好～！"
"清补凉";"清補涼";"cing1 bu2 loeng4";"一种清热解暑的饮品。用中草药加以薏米、红枣、百合、桂圆等食材煮成饮品"
"清明谷雨，冻死老鼠";"清明穀雨，凍死老鼠";"cing1 ming4 guk1 ji2,dung3 sli2 lau2 si2";"钦州农谚：从清明到谷雨这两个节气间，气温变化大，可能还会出现非常寒冷的天气。"
"清明明，山水冇离坪；清明暗，山水冇离墈";"清明明，山水冇離坪；清明暗，山水冇離墈";"cing1 ming4 ming4,saan1 sui2 mau2 li4 ping4,cing1 ming4 am3,saan1 sui2 mau2 li4 ham3";"钦州农谚：清明这天天气好，今年则风调雨顺，没有洪涝；清明这天如果天气不好，今年则雨水很少，会有干旱发生。"
"请饮";"請飲";"cing2 njam2";"请喝酒，泛指请吃饭或邀请参加宴席：中了咁大奖，几时~？"
"请酒";"請酒";"cing2 zau2";"邀请参加宴席：你仔领证啦？一讲几时请饮？"
"情愿";"情願";"cing4 njin4";"①甘心，宁愿：畀佢做？我～自己做哦！②可以忍受，常用否定形式：日日着领导闹，真系冇～哦！"
"切粉";"切粉";"cit3 fan2";"广西常见的一种扁条状米粉，猪脚粉、老友粉常采用该种米粉制作。"
"缲裤脚";"繰褲腳";"ciu1 fu3 goek3";"修裤脚"
"初初";"初初";"co1 co1";"起初，刚开始：我～仲以为佢跟我一样大。"
"坐垫";"坐墊";"co2 tem2";"椅子或沙发上用的可移动的垫子。"
"坐盆";"坐盆";"co2 pun4";"坐式马桶。"
"坐定";"坐定";"co2 ding4";"坐着不动：～收钱。"
"坐监";"坐監";"co2 gaam1";"坐牢。"
"坐班房";"坐班房";"co2 baan1 fong4";"坐牢。"
"坐单车";"坐單車";"co2 daan1 ce1";"骑单车。"
"错手";"錯手";"co3 sau2";"失手，不小心：我～打到佢。"
"错有错着";"錯有錯着";"co3 jau2 co3 zoek4";"用错了方法,却反而得到了更好的结果。"
"雀仔";"雀仔";"coek3 zai2";"小型鸟类"
"雀仔窦";"雀仔竇";"coek3 zai2 dau3";"小鸟窝"
"雀仔蛋";"雀仔蛋";"coek3 zai2 daan4";"鸟蛋"
"抢食";"搶食";"coeng2 sik4";"争抢食物，形容吃相难看"
"抢手";"搶手";"coeng2 sau2";"商品销路好，事物受欢迎"
"肠粉";"腸粉";"coeng4 fan2";"用米浆制作，内有馅料的长条状食品。"
"肠水";"腸水";"coeng4 sui2";"下水。"
"长袖衫";"長袖衫";"coeng4 zau4 saam1";"衣袖覆盖整个手臂的衣服"
"长尾章";"長尾章";"coeng4 mi2 zoeng1";"指“章”，口头上用以区别“张”和“章”的说法"
"长桡桡";"長橈橈";"coeng4 naau2 naau2";"形容柔长：你啲头发～到，几时去剪？"
"长䦋䦋";"長䦋䦋";"coeng4 ngaau4 ngaau4";"形容极长：条竿～。"
"长袖衫";"長袖衫";"coeng4 zau4 saam1";"衣袖覆盖整个手臂的衣服"
"长颈鹿";"長頸鹿";"coeng4 geng2 luk4";"比喻考试时伸长脖子抄袭的人"
"采茶";"採茶";"coi2 caa4";"即采茶戏，一种起源于明朝赣南、广泛流行于东南地区的传统戏曲。可分为采茶歌舞、小戏、大戏三大部分：今晚大桥头又有人唱～。"
"菜坡";"菜坡";"coi3 po1";"菜地"
"菜花";"菜花";"coi3 faa1";"又“椰菜花”，白色花菜，甘蓝（学名：Brassica oleracea）的变种，英语：cauliflower，学名：Brassica oleracea var. botrytis（图自：https://commons.wikimedia.org/wiki/File:Bloemkool.jpg）"
"菜骨";"菜骨";"coi3 gwat1";"菜茎"
"菜脚";"菜腳";"coi3 goek3";"菜吃完后剩余的部分，形容人水平很差：你只~，我让你三码。"
"裁衫";"裁衫";"coi4 saam1";"裁剪衣物"
"苍蝇埲屎";"蒼蠅埲屎";"cong1 jing1 bung4 si2";"形容人一窝蜂地聚集在一起，常含贬义。"
"窗眼";"窗眼";"cong1 ngaan2";"窗户：只贼佬系从～跳落来噶。"
"床脚";"牀腳";"cong4 goek3";"床下部的支撑柱"
"床头柜";"牀頭櫃";"cong4 tau4 gwai4";"放在床头旁边的小柜"
"𫵱𫵱卵卵";"𫵱𫵱卵卵";"cot4 cot4 lin2 lin2";"形容人满嘴脏话"
"𫵱毛";"𫵱毛";"cot4 maau4";"男性的阴毛。"
"𫵱头";"𫵱頭";"cot4 tau4";"龟头，常用于蔑称他人：只~边仲识回屋！"
"𫵱稍";"𫵱稍";"cot4 saau1";"①脏话，表示情况糟糕：~！冇记得带钱。②表示程度深：摊猪脚粉好食~！"
"𫵱屎";"𫵱屎";"cot4 si2";"男性阴茎包皮上的污垢，常用作对人的蔑称：关键时候只~又冇识走去边啲了。"
"粗口烂舌";"粗口爛舌";"cu1 hau2 laan4 set4";"形容人脏话多"
"粗兀兀";"粗兀兀";"cu1 ngat4 ngat4";"形容物体粗糙、不光滑"
"吹水";"吹水";"cui1 sui2";"吹牛，谈天说地：得闲过来饮茶～。"
"吹鐖";"吹鐖";"cui1 gai1";"吹哨，亦比喻召集活动：今晚边人～去饮？"
"吹嫖赌饮";"吹嫖賭飲";"cui1 piu4 du2 njam2";"泛指各种恶习"
"吹风筒";"吹風筒";"cui1 fung1 tung4";"电吹风，亦称“吹筒”。"
"吹胀";"吹脹";"cui1 zoeng3";"常以反问或否定形式出现，表示无可奈何、无计可施：吹得我胀咩？|冇吹得佢胀。"
"脆湒湒";"脆湒湒";"cui3 cap1 cap1";"形容脆，爽口，亦作“脆湒”：条青瓜~嘅，好食哦！"
"脆鲩";"脆鯇";"cui3 waan2";"广东省中山市著名水产，以肉质脆滑而得名"
"随边";"隨邊";"cui4 bin1";"动作同时进行，一边：～食～饮。"
"𢿭到";"𢿭到";"cuk1 dau3";"受冲撞而扭伤肌肉、关节：今日打球～手乸头。"
"𣤶鼻";"𣤶鼻";"cuk1 bit4";"呛鼻：炒咩菜咁～？"
"噈鼻";"噈鼻";"cuk1 bit4";"呛鼻：炒咩菜咁～？"
"束装";"束裝";"cuk1 zong1";"将衣衽束进裤腰：穿衬衫～显得精神。"
"速度";"速度";"cuk1 du4";"①快慢程度；②催人快速，赶快：～回屋食饭。"
"速生桉";"速生桉";"cuk1 saang1 on1";"一种快速生长的经济树种。"
"冲天炮";"沖天炮";"cung1 tin1 paau3";"一种烟花。"
"冲凉";"沖涼";"cung1 loeng4";"洗澡"
"冲凉房";"沖涼房";"cung1 loeng4 fong4";"浴室"
"重秤";"重秤";"cung2 cing3";"压秤，物体分量大：啲粽好～。"
"重濌濌";"重濌濌";"cung2 dap4 dap4";"沉甸甸：只书包～。"
"重口";"重口";"cung2 hau2";"重口味：你食嘢够～嘅！"
"重手";"重手";"cung2 sau2";"①下手重：帮我捶捶背喂，冇要咁~喔；②手感重：份礼咁～啊？"
"从细";"從細";"cung4 slai3";"从小"
"从细到大";"從細到大";"cung4 slai3 dau3 daai4";"从小到大：我～都系住在二马路。"
"松木";"松木";"cung4 muk4";"松树。"
"重阳有雨重重落，重阳冇雨一冬干";"重陽有雨重重落，重陽冇雨一冬乾";"cung4 joeng4 jau2 ji2 cung4 cung4 lok4,cung4 joeng4 mau2 ji2 jat1 dung1 gon1";"钦州农谚：重阳下雨的话往后雨水很多，重阳不下雨的话整个冬天都很干旱。"
"打靶";"打靶";"daa2 baa2";"对设置的目标射击，引申为枪毙：再嘈就拉你去～。"
"打靶仔";"打靶仔";"daa2 baa2 zai2";"骂人的话。"
"打电虫";"打電蟲";"daa2 din4 cung4";"金龟子的一种"
"打趁哄";"打趁哄";"daa2 can3 hung3";"瞎跟风，瞎凑热闹，瞎起哄：人哋两公婆争跤你又来～！"
"打甂炉";"打甂爐";"daa2 bin1 lu4";"吃火锅：天冷合适～。"
