"simplified";"traditional";"pinyin";"description"
"手指";"手指";"be1 sau2 zi2";"长在正常手指上的多余手指"
"牙";"牙";"be1 ngaa4";"多长出来的牙齿"
"荫";"蔭";"be1 jam3";"蝉"
"扁粉";"扁粉";"ben2 fan2";"扁的成片的米粉：要～一系圆粉？"
"扁柑";"扁柑";"ben2 gaam1";"一种柑橘属植物，广西特产"
"揙屎";"揙屎";"ben2 si2";"大便后擦屁股。"
"絣牙花";"絣牙花";"beng3 ngaa4 faa1";"胡言，说废话：冇咁多时间捞你～。"
"絣锁匙";"絣鎖匙";"beng3 slo2 si4";"用钥匙圈把钥匙串起来"
"瘪瘪屎";"癟癟屎";"bet4 bet4 si2";"稀便"
"畀面";"畀面";"bi2 min4";"给面子：今日咁多人来，真系好～。"
"畀心机";"畀心機";"bi2 slam1 gi1";"用心：～读书啦！"
"𠻋哩𠵔𠼖";"𠻋哩𠵔𠼖";"bi4 li1 bom4 lom4";"形容非常吵闹震耳：旧时新年烧炮～到！"
"逼颈";"逼頸";"bik1 geng2";"说话针锋相对：只人讲话冇识几～。"
"逼到";"逼到";"bik1 dau3";"被逼无奈地：手机坏了，~要去买部新嘅。"
"逼着";"逼着";"bik1 zoek4";"同“逼到”。"
"煏烧烤";"煏燒烤";"bik1 siu1 haau1";"烧烤，烤东西吃：今晚~啊。"
"边边";"邊邊";"bin1 bin4";"哪边，哪一方：你帮~？"
"边啲";"邊啲";"bin1 di1";"①哪里：你去～？②哪些：~系你嘅书？"
"边个";"邊個";"bin1 go3";"哪个：～讲噶？"
"边人";"邊人";"bin njan4";"哪个人，谁：~讲我坏话？"
"边头";"邊頭";"bin1 tau4";"旁边：你徛佢～。"
"边只";"邊隻";"bin1 zek3";"哪个：～鬼打偷了我拖鞋？"
"冰种";"冰種";"bing1 zung2";"冰箱、空调等的制冷剂，又叫雪种"
"摒开";"摒開";"bing3 hoi1";"搬走，移开"
"摒屋";"摒屋";"bing3 uk1";"搬家"
"摒走";"摒走";"bing3 zau2";"搬走，移开：帮我～堆嘢去。"
"鼻公";"鼻公";"bit4 gung1";"鼻子"
"鼻公腰";"鼻公腰";"bit4 gung1 jiu1";"鼻梁"
"鼻公竉";"鼻公竉";"bit4 gung1 lung1";"鼻孔"
"鼻齉齉";"鼻齉齉";"bit4 nang3 nang3";"鼻子不通气。"
"鼻涕虫";"鼻涕蟲";"bit4 tai3 cung4";"蛞蝓"
"鼻涕流流嫁沙牛";"鼻涕流流嫁沙牛";"bit4 tai3 lau4 lau4 gaa3 saa1 ngau4";"钦州童谣中的一句"
"鼻涕螺";"鼻涕螺";"bit4 tai3 lo4";"蜗牛"
"鼻水";"鼻水";"bit4 sui2";"鼻涕"
"猋唅唅";"猋唅唅";"biu1 ham4 ham4";"急速奔走，猛冲：一放学帮侬仔就～噉出来。"
"猋欻欻";"猋欻欻";"biu1 fot4 fot4";"急速奔走，猛冲。"
"熛撒撒";"熛撒撒";"biu1 slaat3 slaat3";"（火星等）四处迸溅：嗰堆火烧得几红，火星～到。"
"波霸";"波霸";"bo1 baa3";"俗指乳房特别发达的女性。"
"波鞋";"波鞋";"bo1 haai4";"球鞋。"
"波士顿";"波士頓";"bo1 si4 dan4";"运动鞋的旧称。"
"波罩";"波罩";"bo1 zaau3";"胸罩。"
"波珠";"波珠";"bo1 zi1";"小珠子。"
"波珠玭";"波珠玭";"bo1 zi1 bi3";"小珠子，亦作“玻璃玭”。"
"波箱";"波箱";"bo1 sloeng1";"变速箱。"
